Gene_name,UniProtKB_ID,Occurrence,Kmer_distance_median,ANI_median,Flank_index_median,Procrustes_correlation,Procrustes_signif,Mantel_correlation,Mantel_signif,Man_signif_FDR_adjusted,Roary_annotation,KEGG_pathway,GO_BP_term,GO_MF_term,GO_CC_term
cpxA,P0AE82,3503,23885,98.03308,93.02326,0.10747,0.00100,0.63813,0.00100,0.00156,Sensor histidine kinase CpxA,Two-component system,cell adhesion/cell adhesion involved in biofilm formation/cell-substrate adhesion/submerged biofilm formation/phosphorus metabolic process/phosphate-containing compound metabolic process/biofilm formation/aggregation of unicellular organisms/cell aggregation/cell communication/macromolecule modification/phosphorylation/protein modification process/cellular response to stress/signaling/response to radiation/signal transduction/peptidyl-histidine phosphorylation/peptidyl-histidine modification/peptidyl-amino acid modification/response to abiotic stimulus/protein phosphorylation/protein autophosphorylation/cellular response to cell envelope stress/protein metabolic process,"phosphoric ester hydrolase activity/identical protein binding/phosphatase activity/hydrolase activity, acting on ester bonds/transferase activity, transferring phosphorus-containing groups/phosphotransferase activity, alcohol group as acceptor/phosphoprotein phosphatase activity/kinase activity/protein kinase activity/small molecule sensor activity/phosphorelay sensor kinase activity/protein histidine kinase activity/phosphotransferase activity, nitrogenous group as acceptor/catalytic activity, acting on a protein",envelope/cell envelope/outer membrane-bounded periplasmic space/periplasmic space
crr,P69783,3503,16061,97.83731,97.14286,0.21317,0.00100,0.90891,0.00100,0.00156,PTS system glucose-specific EIIA component,Glycolysis / Gluconeogenesis,organic substance transport/phosphorus metabolic process/carbohydrate transport/carbohydrate transmembrane transport/carbohydrate metabolic process/phosphate-containing compound metabolic process/response to external stimulus/import into cell/negative regulation of metabolic process/import across plasma membrane/negative regulation of biological process/response to extracellular stimulus/phosphorylation/regulation of response to external stimulus/response to nutrient levels/phosphoenolpyruvate-dependent sugar phosphotransferase system/carbohydrate import across plasma membrane/regulation of response to stimulus/regulation of carbohydrate metabolic process/regulation of metabolic process/regulation of primary metabolic process,"transferase activity, transferring phosphorus-containing groups/kinase activity",extrinsic component of cytoplasmic side of plasma membrane/cytoplasmic side of plasma membrane/cytoplasmic side of membrane/extrinsic component of plasma membrane/extrinsic component of membrane/side of membrane
cyaA,P00936,3503,21106,97.20419,86.66667,0.20957,0.00100,0.84507,0.00100,0.00156,Adenylate cyclase,Purine metabolism,purine ribonucleotide metabolic process/ribose phosphate metabolic process/ribonucleotide metabolic process/purine nucleotide metabolic process/purine ribonucleotide biosynthetic process/phosphorus metabolic process/ribose phosphate biosynthetic process/phosphate-containing compound metabolic process/purine nucleotide biosynthetic process/ribonucleotide biosynthetic process/purine-containing compound metabolic process/nucleoside phosphate metabolic process/purine-containing compound biosynthetic process/nucleotide metabolic process/nucleobase-containing small molecule metabolic process/organophosphate metabolic process/nucleotide biosynthetic process/nucleoside phosphate biosynthetic process/organophosphate biosynthetic process/carbohydrate derivative metabolic process/carbohydrate derivative biosynthetic process,adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/lyase activity,NA
cysC,P0A6J1,3503,24954,97.29865,75.00000,0.19361,0.00100,0.48273,0.00100,0.00156,Adenylyl-sulfate kinase,Microbial metabolism in diverse environments,phosphorus metabolic process/phosphate-containing compound metabolic process/sulfur compound metabolic process/sulfur compound biosynthetic process/phosphorylation,"identical protein binding/transferase activity, transferring phosphorus-containing groups/phosphotransferase activity, alcohol group as acceptor/kinase activity/adenyl nucleotide binding/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding",NA
cysN,P23845,3503,26070,97.28607,77.27273,0.20025,0.00100,0.79102,0.00100,0.00156,Sulfate adenylyltransferase subunit 1,Biosynthesis of secondary metabolites,sulfur compound metabolic process/sulfur compound biosynthetic process,"nucleotidyltransferase activity/adenylyltransferase activity/transferase activity, transferring phosphorus-containing groups/adenyl nucleotide binding/ATP binding/pyrophosphatase activity/adenyl ribonucleotide binding/hydrolase activity, acting on acid anhydrides/hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/GTPase activity/guanyl nucleotide binding/guanyl ribonucleotide binding/ribonucleoside triphosphate phosphatase activity/GTP binding",NA
cysZ,P0A6J3,3503,19059,97.61173,93.75000,0.14110,0.00100,0.72619,0.00100,0.00156,Sulfate transporter CysZ,NA,inorganic ion transmembrane transport/sulfur compound metabolic process/inorganic anion transport/sulfur compound biosynthetic process/carboxylic acid metabolic process/serine family amino acid metabolic process/small molecule biosynthetic process/sulfur amino acid biosynthetic process/sulfur amino acid metabolic process/inorganic anion transmembrane transport/nitrogen compound transport/serine family amino acid biosynthetic process/amino acid biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/cysteine metabolic process/alpha-amino acid biosynthetic process/sulfur compound transport/amino acid metabolic process/cysteine biosynthetic process/alpha-amino acid metabolic process,active monoatomic ion transmembrane transporter activity/inorganic cation transmembrane transporter activity/solute:monoatomic cation symporter activity/monoatomic cation transmembrane transporter activity/inorganic molecular entity transmembrane transporter activity/symporter activity/solute:proton symporter activity/monoatomic ion transmembrane transporter activity/active transmembrane transporter activity/proton transmembrane transporter activity/secondary active transmembrane transporter activity/salt transmembrane transporter activity/inorganic anion transmembrane transporter activity/sulfur compound transmembrane transporter activity,NA
dacB,P24228,3503,9858,98.72440,100.00000,0.14366,0.00100,0.84217,0.00100,0.00156,D-alanyl-D-alanine carboxypeptidase DacB,Peptidoglycan biosynthesis,cellular component organization/cellular component organization or biogenesis/carbohydrate derivative metabolic process/cellular component biogenesis/carbohydrate derivative biosynthetic process/external encapsulating structure organization/cellular macromolecule biosynthetic process/aminoglycan biosynthetic process/glycosaminoglycan biosynthetic process/peptidoglycan biosynthetic process/peptidoglycan-based cell wall biogenesis/cell wall organization/response to chemical/cell wall macromolecule biosynthetic process/cellular component macromolecule biosynthetic process/cell wall biogenesis/aminoglycan metabolic process/cell division/peptidoglycan metabolic process/glycosaminoglycan metabolic process/cell wall organization or biogenesis/protein metabolic process/cell wall macromolecule metabolic process/response to antibiotic/cell cycle/cell cycle process/regulation of cell shape/cell morphogenesis/cytokinesis/anatomical structure morphogenesis/regulation of anatomical structure morphogenesis/regulation of cell morphogenesis/anatomical structure development/regulation of developmental process/reproduction/asexual reproduction/reproductive process/reproduction of a single-celled organism/FtsZ-dependent cytokinesis/developmental process/proteolysis,"monocarboxylic acid binding/sulfur compound binding/endopeptidase activity/amide binding/serine-type endopeptidase activity/catalytic activity, acting on a protein/carboxylic acid binding/organic acid binding/penicillin binding/serine-type peptidase activity/serine hydrolase activity/exopeptidase activity/serine-type carboxypeptidase activity/serine-type exopeptidase activity/serine-type D-Ala-D-Ala carboxypeptidase activity/peptidase activity/carboxypeptidase activity",periplasmic space
dapB,P04036,3503,19088,97.48383,93.33333,0.22854,0.00100,0.81808,0.00100,0.00156,4-hydroxy-tetrahydrodipicolinate reductase,Biosynthesis of secondary metabolites,carboxylic acid metabolic process/small molecule biosynthetic process/dicarboxylic acid biosynthetic process/dicarboxylic acid metabolic process/amino acid biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/alpha-amino acid biosynthetic process/amino acid metabolic process/aspartate family amino acid biosynthetic process/alpha-amino acid metabolic process/lysine biosynthetic process via diaminopimelate/diaminopimelate metabolic process/lysine biosynthetic process/aspartate family amino acid metabolic process/lysine metabolic process,"identical protein binding/adenyl nucleotide binding/oxidoreductase activity, acting on CH or CH2 groups/NAD binding/NADP binding/oxidoreductase activity/oxidoreductase activity, acting on the CH-CH group of donors/oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",NA
dauR,Q9HXE2,3503,15189,98.61153,85.10638,0.15500,0.00100,0.81396,0.00100,0.00156,Transcriptional regulator DauR,NA,NA,NA,NA
degQ,P39099,3503,13426,98.54003,97.67442,0.17380,0.00100,0.89577,0.00100,0.00156,Periplasmic pH-dependent serine endoprotease DegQ,NA,protein catabolic process/proteolysis involved in protein catabolic process/macromolecule catabolic process/organonitrogen compound catabolic process/protein metabolic process/proteolysis,"identical protein binding/endopeptidase activity/serine-type endopeptidase activity/catalytic activity, acting on a protein/serine-type peptidase activity/serine hydrolase activity/peptidase activity",side of membrane/cell surface/envelope/external side of plasma membrane/cell envelope/outer membrane-bounded periplasmic space/periplasmic space
dmlR_3,P76250,3503,14220,98.20285,100.00000,0.15197,0.00100,0.84096,0.00100,0.00156,HTH-type transcriptional regulator DmlR,NA,negative regulation of metabolic process/negative regulation of biosynthetic process/negative regulation of cellular biosynthetic process/negative regulation of cellular metabolic process/negative regulation of biological process/negative regulation of cellular process/negative regulation of macromolecule biosynthetic process/carboxylic acid metabolic process/negative regulation of macromolecule metabolic process/positive regulation of RNA metabolic process/positive regulation of DNA-templated transcription/positive regulation of RNA biosynthetic process/positive regulation of nucleic acid-templated transcription/negative regulation of DNA-templated transcription/negative regulation of RNA metabolic process/negative regulation of RNA biosynthetic process/negative regulation of nucleic acid-templated transcription/positive regulation of nucleobase-containing compound metabolic process/negative regulation of nitrogen compound metabolic process/negative regulation of nucleobase-containing compound metabolic process/positive regulation of biosynthetic process/positive regulation of macromolecule biosynthetic process/positive regulation of cellular biosynthetic process/positive regulation of cellular metabolic process/positive regulation of nitrogen compound metabolic process/positive regulation of cellular process/dicarboxylic acid metabolic process/positive regulation of biological process/positive regulation of macromolecule metabolic process/positive regulation of metabolic process/regulation of gene expression/regulation of cellular metabolic process/regulation of DNA-templated transcription/regulation of nucleic acid-templated transcription/regulation of cellular biosynthetic process/regulation of metabolic process/regulation of biosynthetic process/regulation of macromolecule biosynthetic process/regulation of nitrogen compound metabolic process/regulation of primary metabolic process/regulation of nucleobase-containing compound metabolic process/regulation of RNA metabolic process/regulation of macromolecule metabolic process/regulation of RNA biosynthetic process/RNA biosynthetic process/DNA-templated transcription/nucleic acid-templated transcription,sequence-specific DNA binding/DNA-binding transcription factor activity/transcription regulator activity/DNA binding,NA
dnaG,P0ABS5,3503,21386,98.11195,100.00000,0.15429,0.00100,0.81492,0.00100,0.00156,DNA primase,DNA replication,DNA-templated DNA replication/DNA replication/RNA biosynthetic process/DNA metabolic process,"nucleotidyltransferase activity/transferase activity, transferring phosphorus-containing groups/transition metal ion binding/zinc ion binding/catalytic activity, acting on RNA/DNA binding/catalytic activity, acting on a nucleic acid",protein-DNA complex/replication fork/intracellular organelle/chromosome/intracellular non-membrane-bounded organelle/organelle/non-membrane-bounded organelle
efp,P0A6N4,3503,11996,98.35020,97.29730,0.17370,0.00100,0.67211,0.00100,0.00156,Elongation factor P,NA,negative regulation of gene expression/negative regulation of metabolic process/negative regulation of biosynthetic process/negative regulation of cellular biosynthetic process/negative regulation of cellular metabolic process/negative regulation of biological process/negative regulation of cellular process/negative regulation of macromolecule biosynthetic process/negative regulation of macromolecule metabolic process/post-transcriptional regulation of gene expression/regulation of translation/negative regulation of translation/negative regulation of cellular macromolecule biosynthetic process/regulation of amide metabolic process/regulation of cellular macromolecule biosynthetic process/negative regulation of amide metabolic process/peptide biosynthetic process/negative regulation of nitrogen compound metabolic process/translation/peptide metabolic process/amide metabolic process/amide biosynthetic process/translational elongation/regulation of gene expression/cellular macromolecule biosynthetic process/negative regulation of protein metabolic process/regulation of cellular metabolic process/regulation of protein metabolic process/regulation of cellular biosynthetic process/regulation of metabolic process/regulation of biosynthetic process/regulation of macromolecule biosynthetic process/regulation of nitrogen compound metabolic process/regulation of primary metabolic process/regulation of macromolecule metabolic process/protein metabolic process,"ribosome binding/translation regulator activity/translation regulator activity, nucleic acid binding/ribonucleoprotein complex binding/protein-containing complex binding/translation factor activity, RNA binding",NA
epmA,P0A8N7,3503,13739,98.19545,94.44444,0.18981,0.00100,0.81557,0.00100,0.00156,Elongation factor P--(R)-beta-lysine ligase,NA,protein phosphopantetheinylation/macromolecule modification/carboxylic acid metabolic process/tRNA aminoacylation for protein translation/tRNA aminoacylation/tRNA metabolic process/amino acid activation/protein modification process/peptide biosynthetic process/translation/peptide metabolic process/amide metabolic process/amide biosynthetic process/peptidyl-lysine modification/ncRNA metabolic process/peptidyl-amino acid modification/cellular macromolecule biosynthetic process/cellular response to pH/response to abiotic stimulus/cellular response to acidic pH/amino acid metabolic process/protein metabolic process/response to pH/response to acidic pH/cellular response to abiotic stimulus/cellular response to environmental stimulus/post-translational protein modification,"RNA binding/catalytic activity, acting on a tRNA/aminoacyl-tRNA ligase activity/ligase activity, forming carbon-oxygen bonds/tRNA binding/ligase activity/adenyl nucleotide binding/catalytic activity, acting on RNA/ATP binding/adenyl ribonucleotide binding/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/acyltransferase activity/catalytic activity, acting on a protein/ligase activity, forming carbon-nitrogen bonds/catalytic activity, acting on a nucleic acid",NA
era_2,P06616,3503,21040,98.35273,100.00000,0.11675,0.00100,0.85097,0.00100,0.00156,GTPase Era,NA,phosphorus metabolic process/phosphate-containing compound metabolic process/cellular component organization/cellular component assembly/cellular component organization or biogenesis/macromolecule modification/phosphorylation/protein-containing complex assembly/protein modification process/cellular component biogenesis/ribosome assembly/ribonucleoprotein complex assembly/ribonucleoprotein complex subunit organization/ribonucleoprotein complex biogenesis/organelle organization/ribosome biogenesis/organelle assembly/non-membrane-bounded organelle assembly/protein phosphorylation/protein autophosphorylation/ribosomal small subunit assembly/protein-containing complex organization/protein metabolic process/ribosomal small subunit biogenesis,"RNA binding/rRNA binding/ribonucleoprotein complex binding/protein-containing complex binding/pyrophosphatase activity/guanosine tetraphosphate binding/hydrolase activity, acting on acid anhydrides/hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides/purine ribonucleoside triphosphate binding/purine ribonucleotide binding/GTPase activity/guanyl nucleotide binding/guanyl ribonucleotide binding/ribonucleoside triphosphate phosphatase activity/ribosomal small subunit binding/GTP binding",extrinsic component of cytoplasmic side of plasma membrane/cytoplasmic side of plasma membrane/cytoplasmic side of membrane/extrinsic component of plasma membrane/extrinsic component of membrane/side of membrane
fabB,P0A953,3503,27868,96.68787,97.56098,0.21621,0.00100,0.76974,0.00100,0.00156,3-oxoacyl-[acyl-carrier-protein] synthase 1,Biosynthesis of cofactors,monocarboxylic acid metabolic process/carboxylic acid metabolic process/small molecule biosynthetic process/organic acid biosynthetic process/carboxylic acid biosynthetic process/lipid biosynthetic process/cellular lipid metabolic process/fatty acid biosynthetic process/fatty acid metabolic process/lipid metabolic process/monocarboxylic acid biosynthetic process,"acyltransferase activity, transferring groups other than amino-acyl groups/acyltransferase activity",NA
fadI,P76503,3503,31744,94.30414,82.35294,0.36152,0.00100,0.68111,0.00100,0.00156,3-ketoacyl-CoA thiolase FadI,Biosynthesis of secondary metabolites,monocarboxylic acid metabolic process/carboxylic acid metabolic process/small molecule catabolic process/lipid modification/cellular catabolic process/fatty acid beta-oxidation/monocarboxylic acid catabolic process/fatty acid oxidation/lipid oxidation/organic acid catabolic process/carboxylic acid catabolic process/fatty acid catabolic process/cellular lipid catabolic process/lipid catabolic process/cellular lipid metabolic process/fatty acid metabolic process/lipid metabolic process,"acyltransferase activity, transferring groups other than amino-acyl groups/C-acyltransferase activity/lyase activity/acyltransferase activity/oxidoreductase activity/hydro-lyase activity/carbon-oxygen lyase activity/oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor/oxidoreductase activity, acting on CH-OH group of donors",NA
fkpB,P0AEM0,3503,23029,97.14809,86.66667,0.25473,0.00100,0.77707,0.00100,0.00156,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,NA,chaperone-mediated protein folding/protein folding/macromolecule modification/protein modification process/protein peptidyl-prolyl isomerization/peptidyl-proline modification/peptidyl-amino acid modification/protein metabolic process,"peptidyl-prolyl cis-trans isomerase activity/cis-trans isomerase activity/catalytic activity, acting on a protein/isomerase activity",NA
